iter	RMSE
325	468164.9401
326	467752.637
327	466066.8759
328	465598.3709
329	464788.6878
330	463831.9149
331	462957.582
332	462746.3031
333	461890.1746
334	460844.1217
335	460508.8887
336	459255.7982
337	458956.6677
338	457780.1165
339	456875.0663
340	455720.9167
341	455446.4457
342	454298.7731
343	453228.2199
344	452935.1268
345	451883.3423
346	450304.5405
347	449600.4454
348	448211.3352
349	447487.4642
350	446776.6029
351	446036.7375
352	445846.3715
353	444795.7739
354	444618.8379
355	443831.6007
356	442510.0219
357	441613.2608
358	440721.623
359	439734.3734
360	439077.1226
361	438224.2733
362	437705.1891
363	436407.5915
364	435591.0346
365	435420.9609
366	434787.6321
367	434122.8057
368	432926.2902
369	432265.9639
370	431343.705
371	431181.022
372	430444.1957
373	429709.207
374	429588.7795
375	428636.8106
376	428523.6863
377	427666.6976
378	426944.4919
379	426239.0842
380	425879.5484
381	425205.2604
382	424508.7069
383	424403.2691
384	424167.0483
385	424069.9587
386	423281.3644
387	422243.6926
388	421151.0451
389	420832.8826
390	420048.5494
391	419480.8932
392	418594.7429
393	417987.4775
394	417202.1495
395	416329.8267
396	415717.6482
397	415231.9201
398	414938.8861
399	414237.6415
400	413469.5918
401	412418.6022
402	411823.131
403	411183.7653
404	410633.4191
405	410176.0034
406	409669.7337
407	408793.5947
408	408428.3352
409	407766.8269
410	406607.1737
411	406282.013
412	405757.8697
413	404912.7376
414	404618.119
415	403652.2126
416	403138.3153
417	402813.4506
418	402212.5084
419	401657.3819
420	401047.7159
421	400403.1926
422	400107.5447
423	399828.2877
424	399498.0392
425	398797.9172
426	398095.6621
427	397785.8042
428	397309.8519
429	397175.2969
430	397069.9837
431	396322.998
432	396037.5769
433	395600.4515
434	395101.0505
435	394563.4532
436	394419.0294
437	393467.0301
438	392834.5911
439	392411.9259
440	392038.4171
441	391815.3766
442	391057.275
443	390523.8756
444	390244.1052
445	389781.435
446	389723.1652
447	389368.1435
448	388807.6209
449	388487.4774
450	388322.6291
451	388111.4414
452	387539.4373
453	387509.3411
454	387006.7494
455	386775.1927
456	386634.0764
457	386181.3804
458	385720.0449
459	385511.5417
460	385243.4157
461	384744.0924
462	384120.5296
463	383501.4634
464	382971.0296
465	382637.4412
466	382165.2782
467	382075.4325
468	381521.6414
469	380971.2091
470	380526.127
471	380299.4442
472	379771.1169
473	379263.1486
474	378798.1042
475	378519.7678
476	378210.6722
477	378081.5565
478	377671.5664
479	377276.3136
480	377209.3534
481	377089.8568
482	376524.7346
483	376414.1421
484	375842.6609
485	375569.3329
486	375088.5477
487	374814.9322
488	374660.8814
489	373905.6966
490	373408.8071
491	373099.8954
492	372746.4568
493	371773.3103
494	371522.2681
495	371082.3518
496	371018.4236
497	370620.078
498	369953.0523
499	369890.9575
500	369705.665
501	369106.1363
502	369047.5483
503	368659.9808
504	368630.0063
505	368194.9414
506	368010.3125
507	367571.339
508	367227.7531
509	366861.3231
510	366828.4224
511	366452.6516
512	366130.6777
513	366007.0135
514	365979.3117
515	365770.6
516	365367.6809
517	365044.5771
518	365013.4261
519	364226.1166
520	364126.9809
521	363666.9971
522	363431.6652
523	362962.121
524	362605.3207
525	362512.2023
526	362110.8344
527	361645.3534
528	361317.8957
529	361299.8367
530	361148.2952
531	361060.5493
532	361010.8685
533	360688.4491
534	360607.8732
535	360149.1021
536	359347.9048
537	359265.4865
538	358935.3608
539	358634.1845
540	358617.0652
541	358425.897
542	358250.1901
543	357845.6343
544	357671.886
545	357269.6567
546	356886.8893
547	356684.2329
548	356267.4278
549	356069.5035
550	355020.3072
551	354733.3731
552	354365.3564
553	353496.3679
554	353264.9754
555	353240.0624
556	352905.4994
557	352567.2612
558	352543.6077
559	352335.9981
560	352306.6856
561	352004.3608
562	351830.6899
563	351502.6774
564	351423.5675
565	350363.1104
566	350336.1242
567	349831.5768
568	349540.5114
569	349387.7283
570	349027.2977
571	349004.8771
572	348681.1462
573	348656.0357
574	347710.0738
575	347558.7405
576	346947.3323
577	346569.7804
578	346392.13
579	346157.3416
580	345875.9394
581	345426.404
582	344979.6295
583	344689.7471
584	344395.005
585	344001.5601
586	343863.0313
587	343793.6236
588	343630.9181
589	343210.5854
590	342889.0633
591	342777.7166
592	342609.9086
593	342032.098
594	341878.9044
595	341659.2695
596	341308.2913
597	341204.7036
598	340726.6669
599	340483.4882
600	340322.5119
601	339832.5455
602	339678.4315
603	339166.9448
604	339066.0532
605	339043.8472
606	338890.5394
607	338869.7239
608	338436.1064
609	338196.0386
610	337999.859
611	337553.4296
612	337341.1851
613	337051.2827
614	337031.6771
615	336461.452
616	336440.2831
617	336299.7875
618	335916.5832
619	335896.1689
620	335763.4926
621	335519.5732
622	335490.7785
623	335356.515
624	335103.2729
625	334854.1944
626	334724.2631
627	334493.8751
628	333877.3484
629	333843.9963
630	333825.891
631	333806.162
632	333592.0995
633	333466.386
634	333447.308
635	333097.8873
636	332641.6967
637	332425.4992
638	332244.3927
639	332227.1305
640	332211.0908
641	332059.0885
642	331794.0086
643	331675.8308
644	331655.6776
645	331511.895
646	331386.4575
647	330987.9843
648	330523.4646
649	330153.6378
650	330059.0088
651	329939.0682
652	329407.6913
653	329317.8939
654	328961.2335
655	328844.3017
656	328705.6279
657	328384.6703
658	328276.8689
659	328168.3489
660	328058.6402
661	328030.6841
662	327729.7784
663	327333.1244
664	327135.2678
665	327107.8085
666	326998.6245
667	326853.7786
668	326438.1413
669	326119.302
670	325848.2363
671	325605.5049
672	325225.6337
673	324965.8199
674	324879.2489
675	324617.7181
676	324315.7681
677	324188.3464
678	323954.4917
679	323759.5959
680	323644.1781
681	323371.8863
682	323355.8244
683	323194.4099
684	322848.6823
685	322833.3138
686	322472.4806
687	322316.3474
688	322301.7156
689	322091.7886
690	321755.5881
691	321614.9757
692	321308.2854
693	320889.3328
694	320717.6933
695	320620.2303
696	320605.8877
697	320594.7959
698	320572.4561
699	320402.2711
700	320389.0199
701	320016.483
702	319890.4856
703	319837.4968
704	319817.9162
705	319705.5648
706	319608.9352
707	319490.1968
708	319350.3136
709	319081.4743
710	318835.3484
711	318753.517
712	318626.8787
713	318518.3795
714	318444.6764
715	318185.5423
716	318084.5501
717	317853.4279
718	317431.2335
719	317057.2383
720	316804.6397
721	316540.1203
722	316434.098
723	316243.4043
724	316013.9352
725	315813.8359
726	315721.5382
727	315668.1007
728	315574.6097
729	315428.5467
730	315216.1553
731	315135.2912
732	315042.7992
733	314958.0758
734	314724.4715
735	314649.3405
736	314432.1547
737	314352.6847
738	314193.47
739	313968.8014
740	313774.7154
741	313617.0716
742	313443.3871
743	313362.2881
744	313256.9489
745	313191.6391
746	313045.4861
747	312965.7099
748	312701.9345
749	312673.9738
750	312595.8483
751	312494.689
752	312478.1314
753	312466.6797
754	312455.6638
755	312445.0647
756	312434.8648
757	312425.0469
758	312402.5483
759	312387.9566
760	312073.2826
761	312059.7142
762	311886.6981
763	311811.1424
764	311693.9869
765	311593.4341
766	311368.2349
767	311221.0577
768	311205.3312
769	311121.4221
770	310899.5657
771	310767.9156
772	310679.9682
773	310610.057
774	310596.6604
775	310259.0089
776	310056.1201
777	309893.3368
778	309614.7583
779	309542.9553
780	309294.6827
781	309271.9199
782	309191.6089
783	309074.0585
784	308990.4574
785	308874.3058
786	308805.8183
787	308682.6196
788	308506.7538
789	308379.8708
790	308243.5309
791	308102.1095
792	308064.411
793	307850.706
794	307725.7756
795	307521.3088
796	307395.839
797	307242.0933
798	307161.7892
799	307047.2347
800	307012.524
801	306961.5273
802	306850.6657
803	306838.0447
804	306717.9388
805	306612.6047
806	306600.3024
807	306487.6429
808	306360.3188
809	306350.097
810	306279.0193
811	306100.9299
812	305926.704
813	305859.3391
814	305794.3594
815	305719.8174
816	305620.489
817	305513.749
818	305210.7334
819	305142.8178
820	304959.1629
821	304896.6196
822	304558.4495
823	304368.1496
824	304313.7073
825	304162.6858
826	304110.3521
827	303945.9891
828	303753.3995
829	303446.6158
830	303277.7911
831	303092.968
832	302918.923
833	302762.5718
834	302467.1804
835	302378.5595
836	302215.3361
837	302024.4678
838	301911.5074
839	301633.8062
840	301533.8665
841	301366.1764
842	301257.809
843	301099.8099
844	300965.448
845	300874.099
846	300772.9829
847	300672.8576
848	300613.6292
849	300434.3579
850	300029.8761
851	299937.4764
852	299831.0389
853	299749.9516
854	299672.7454
855	299307.9083
856	299244.7704
857	299202.1245
858	299053.9096
859	298964.9876
860	298826.3206
861	298742.2979
862	298609.7314
863	298347.3363
864	298206.9656
865	298109.7027
866	297977.6436
867	297937.1006
868	297763.3544
869	297637.4609
870	297553.5244
871	297301.5076
872	297153.9404
873	297065.2587
874	296864.4267
875	296722.2739
876	296558.5843
877	296393.825
878	296270.7424
879	296174.2838
880	296036.1032
881	295985.6984
882	295901.3243
883	295655.1645
884	295579.8579
885	295504.26
886	295382.4295
887	295141.1231
888	295027.6698
889	294953.8975
890	294887.5704
